"BehaviorSpace results (NetLogo 6.2.2)"
"BestResponseToContexts.nlogo"
"experiment_Exp1_MSNE"
"01/20/2025 20:08:51:480 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","Base-MSNE","Number-Of-C-Beliefs","Memory","Inertia","Epsilon","Number-Of-People","Initial-C-Belief-Positions","Initial-Person-Attributes","Perc-Right-Hand-Side","Clustering-Weight","Statistics-Retention","Run-Length","MSNE-Margin","HD-Value","MFI-Network-Radius","Ticks-Between-Network-Updates","Ticks-Between-Plot-Updates","Ticks-Until-Shock","Shock-Repeats?","Shock-Code","Seed-Setup","Seed-Go","[step]","previous-seed-setup","previous-seed-go","timer","hd-cost-of-conflict","msne-exp-payoff","noise-payoff","item 0 payoffs","item 1 payoffs","item 2 payoffs","item 3 payoffs","count people","count C-Beliefs","perc-played-hawk","perc-played-dove","perc-interaction-type 0","perc-interaction-type 1","perc-interaction-type 2","perc-interaction-type 3","mean-payoff-by-mfi 0","mean-payoff-by-mfi 1","mean-payoff-by-mfi 2","mean-payoff-by-mfi 3","perc-events-dd","perc-events-hh","perc-events-dhhd","perc-always-hawk","perc-play-mixture","perc-always-dove","perc-best-response-dove","perc-best-response-msne","perc-best-response-hawk","perc-beliefs-between 0 20","perc-beliefs-between 20 40","perc-beliefs-between 40 60","perc-beliefs-between 60 80","perc-beliefs-between 80 101","num-mfi-components-larger-than 0","num-mfi-components-larger-than 1","num-mfi-components-larger-than 5","first first mfi-component-sizes","last first mfi-component-sizes","perc-self-hawkish-mfi-type 0","perc-self-hawkish-mfi-type 1","perc-self-hawkish-mfi-type 2","perc-self-hawkish-mfi-type 3","mean-icb-distance-by-mfi 0","mean-icb-distance-by-mfi 1","mean-icb-distance-by-mfi 2","mean-icb-distance-by-mfi 3"
"7","30","1","100","100","0","200","Random","Random","50","0","0","2000","5","10","4","100","100","-1","false","","0","0","2000","-1300367576","858898670","14.211","33.333333333333336","3.5","0.833333333333333","5","0","10","-11.666666666666668","200","200","28.5","71.5","49","22.5","22.5","6","5","0","10","-11.66666666666667","49","6","45","0","100","0","0","100","0","0","100","0","0","0","35","18","6","97","0","30.612244897959183","17.77777777777778","17.77777777777778","0","0","0","0","0"
"9","40","1","100","100","0","200","Random","Random","50","0","0","2000","5","10","4","100","100","-1","false","","0","0","2000","1666845186","19878756","13.775","25","3","1.875","5","0","10","-7.5","200","200","41","59","35","24","24","17","5","0","10","-7.5","35","17","48","0","100","0","0","100","0","0","0","100","0","0","54","35","8","47","0","48.57142857142857","41.66666666666667","41.66666666666667","41.17647058823529","0","0","0","0"
"8","35","1","100","100","0","200","Random","Random","50","0","0","2000","5","10","4","100","100","-1","false","","0","0","2000","1760662702","-392073115","14.12","28.571428571428573","3.25","1.4285714285714284","5","0","10","-9.285714285714286","200","200","32","68","41","27","27","5","5","0","10","-9.285714285714288","41","5","54","0","100","0","0","100","0","0","100","0","0","0","37","21","5","80","0","45.1219512195122","40.74074074074074","40.74074074074074","50","0","0","0","0"
"3","10","1","100","100","0","200","Random","Random","50","0","0","2000","5","10","4","100","100","-1","false","","0","0","2000","1134246787","1414166155","16.591","100","4.5","-7.5","5","0","10","-45","200","200","9.5","90.5","84","6.5","6.5","3","5","0","10","-45","84","3","13","0","100","0","0","100","0","100","0","0","0","0","26","7","1","168","0","10.119047619047619","7.6923076923076925","7.6923076923076925","0","0","0","0","0"
"2","5","1","100","100","0","200","Random","Random","50","0","0","2000","5","10","4","100","100","-1","false","","0","0","2000","764692484","1954394788","16.377","200","4.75","-20","5","0","10","-95","200","200","4.5","95.5","91","4.5","4.5","0","5","0","10","-20","91","0","9","0","100","0","0","100","0","100","0","0","0","0","19","1","1","182","0","7.142857142857142","0","0","5","0","0","0","0"
"5","20","1","100","100","0","200","Random","Random","50","0","0","2000","5","10","4","100","100","-1","false","","0","0","2000","775902690","-2074159120","16.137","50","4","-1.25","5","0","10","-20","200","200","21","79","64","15","15","6","5","0","10","-20","64","6","30","0","100","0","0","100","0","0","100","0","0","0","45","21","2","126","0","14.84375","20","20","8.333333333333332","0","0","0","0"
"11","50","1","100","100","0","200","Random","Random","50","0","0","2000","5","10","4","100","100","-1","false","","0","0","2000","-1706561591","-844323468","13.991","20","2.5","2.5","5","0","10","-5","200","200","52.5","47.5","22","25.5","25.5","27","5","0","10","-5","22","27","51","0","100","0","0","100","0","0","0","100","0","0","56","34","10","18","0","52.27272727272727","52.94117647058824","52.94117647058824","51.85185185185185","0","0","0","0"
"10","45","1","100","100","0","200","Random","Random","50","0","0","2000","5","10","4","100","100","-1","false","","0","0","2000","-676265777","-479625665","13.703","22.22222222222222","2.75","2.2222222222222223","5","0","10","-6.111111111111111","200","200","42.5","57.5","32","25.5","25.5","17","5","0","10","-6.111111111111113","32","17","51","0","100","0","0","100","0","0","0","100","0","0","58","37","9","27","0","46.875","50.98039215686274","50.98039215686274","55.88235294117647","0","0","0","0"
"4","15","1","100","100","0","200","Random","Random","50","0","0","2000","5","10","4","100","100","-1","false","","0","0","2000","297376655","1487542698","15.464","66.66666666666667","4.25","-3.333333333333334","5","0","10","-28.333333333333336","200","200","11","89","78","11","11","0","5","0","10","-3.333333333333334","78","0","22","0","100","0","0","100","0","100","0","0","0","0","29","9","1","156","0","8.974358974358974","18.181818181818183","18.181818181818183","15","0","0","0","0"
"12","55","1","100","100","0","200","Random","Random","50","0","0","2000","5","10","4","100","100","-1","false","","0","0","2000","-216202327","384293057","13.475","18.181818181818183","2.25","2.727272727272727","5","0","10","-4.090909090909092","200","200","53","47","25","22","22","31","5","0","10","-4.090909090909093","25","31","44","0","100","0","0","100","0","0","0","100","0","0","50","32","9","20","3","62","59.09090909090909","59.09090909090909","61.29032258064516","0","0","0","0"
