"BehaviorSpace results (NetLogo 6.2.2)"
"BestResponseToContexts.nlogo"
"experiment_Exp2_StatRet"
"01/20/2025 20:15:24:409 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","Base-MSNE","Number-Of-C-Beliefs","Memory","Inertia","Epsilon","Number-Of-People","Initial-C-Belief-Positions","Initial-Person-Attributes","Perc-Right-Hand-Side","Clustering-Weight","Statistics-Retention","Run-Length","MSNE-Margin","HD-Value","MFI-Network-Radius","Ticks-Between-Network-Updates","Ticks-Between-Plot-Updates","Ticks-Until-Shock","Shock-Repeats?","Shock-Code","Seed-Setup","Seed-Go","[step]","previous-seed-setup","previous-seed-go","timer","hd-cost-of-conflict","msne-exp-payoff","noise-payoff","item 0 payoffs","item 1 payoffs","item 2 payoffs","item 3 payoffs","count people","count C-Beliefs","perc-played-hawk","perc-played-dove","perc-interaction-type 0","perc-interaction-type 1","perc-interaction-type 2","perc-interaction-type 3","mean-payoff-by-mfi 0","mean-payoff-by-mfi 1","mean-payoff-by-mfi 2","mean-payoff-by-mfi 3","perc-events-dd","perc-events-hh","perc-events-dhhd","perc-always-hawk","perc-play-mixture","perc-always-dove","perc-best-response-dove","perc-best-response-msne","perc-best-response-hawk","perc-beliefs-between 0 20","perc-beliefs-between 20 40","perc-beliefs-between 40 60","perc-beliefs-between 60 80","perc-beliefs-between 80 101","num-mfi-components-larger-than 0","num-mfi-components-larger-than 1","num-mfi-components-larger-than 5","first first mfi-component-sizes","last first mfi-component-sizes","perc-self-hawkish-mfi-type 0","perc-self-hawkish-mfi-type 1","perc-self-hawkish-mfi-type 2","perc-self-hawkish-mfi-type 3","mean-icb-distance-by-mfi 0","mean-icb-distance-by-mfi 1","mean-icb-distance-by-mfi 2","mean-icb-distance-by-mfi 3"
"9","40","1","100","100","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-1168604174","-557340912","12.443","25","3","1.875","5","0","10","-7.5","200","200","42","58","62","14","19","5","3.0306119354014416","1.83438593173534","3.7878243353669085","0.38183989742438634","35.77882934635074","17.00342360813783","47.21774704551146","0","100","0","0","100","0","0","0","100","0","0","35","14","4","124","0","30.64516129032258","32.142857142857146","39.473684210526315","30","0","0","0","0"
"6","25","1","100","100","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","2027540510","-730398655","12.935","40","3.75","0","5","0","10","-15","200","200","25.5","74.5","93.5","3","3","0.5","3.725704313182037","2.6117900207799054","5.308615126468356","-1.596536839846369","54.58433578958304","6.434184984782904","38.981479225634075","0","100","0","0","100","0","0","100","0","0","0","11","3","1","187","0","25.13368983957219","0","0","0","0","0","0","0"
"8","35","1","100","100","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","1216153371","-1686343013","14.24","28.571428571428573","3.25","1.4285714285714284","5","0","10","-9.285714285714286","200","200","30","70","85","7.5","7","0.5","3.3703358742302485","2.0623603452229506","4.187145600213591","0.728894646862413","46.6781804016143","11.78654971034314","41.53526988804259","0","100","0","0","100","0","0","100","0","0","0","25","7","1","169","0","31.76470588235294","33.33333333333333","28.57142857142857","0","0","0","0","0"
"12","55","1","100","100","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-367766545","-964631029","12.587","18.181818181818183","2.25","2.727272727272727","5","0","10","-4.090909090909092","200","200","62","38","10","19.5","25.5","45","2.8354394743610176","1.899649290234928","3.8001008699924474","1.3493050538235143","20.217464622183176","30.467925893893742","49.314609483923086","0","100","0","0","100","0","0","0","100","0","0","46","26","5","41","3","40","58.97435897435898","56.86274509803921","55.55555555555556","0","0","0","0"
"5","20","1","100","100","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-1185412","1919543243","15.16","50","4","-1.25","5","0","10","-20","200","200","21","79","100","0","0","0","3.8781493353866097","-1.25","-1.25","-1.25","63.77498262203831","4.487402658453558","31.73761471950815","0","100","0","0","100","0","0","100","0","0","0","1","1","1","200","0","20.5","20","20","20","0","0","0","0"
"4","15","1","100","100","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-751561525","-488171348","13.102","66.66666666666667","4.25","-3.333333333333334","5","0","10","-28.333333333333336","200","200","12","88","100","0","0","0","4.392905476138262","-3.333333333333334","-3.333333333333334","-3.333333333333334","71.93937840542152","1.8212835715852267","26.23933802299328","0","100","0","0","100","0","100","0","0","0","0","1","1","1","200","0","14.000000000000002","15","15","15","0","0","0","0"
"10","45","1","100","100","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","404808547","1756636663","15.34","22.22222222222222","2.75","2.2222222222222223","5","0","10","-6.111111111111111","200","200","47.5","52.5","34","23","31.5","11.5","3.0061505694858193","2.033901508404399","3.961465198207721","0.9645027850511801","28.746046514562686","19.361988915529437","51.8919645699079","0","100","0","0","100","0","0","0","100","0","0","50","25","8","32","0","48.529411764705884","39.130434782608695","47.61904761904761","39.130434782608695","0","0","0","0"
"7","30","1","100","100","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","1723271840","476839120","16.664","33.333333333333336","3.5","0.833333333333333","5","0","10","-11.666666666666668","200","200","31","69","84.5","8","7.5","0","3.402626305968524","2.269792014747508","4.1137670312880195","0.833333333333333","47.55376803534259","9.807989297581168","42.63824266707626","0","100","0","0","100","0","0","100","0","0","0","25","5","1","169","0","31.952662721893493","31.25","33.33333333333333","30","0","0","0","0"
"2","5","1","100","100","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-2040332600","469662775","17.232","200","4.75","-20","5","0","10","-95","200","200","4","96","100","0","0","0","4.763637446797159","-20","-20","-20","91.02093345728684","0.23636255320283922","8.742703989510343","0","100","0","0","100","0","100","0","0","0","0","1","1","1","200","0","3.5000000000000004","5","5","5","0","0","0","0"
"11","50","1","100","100","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-1254808865","925753732","13.878","20","2.5","2.5","5","0","10","-5","200","200","49.5","50.5","31","25","25.5","18.5","2.936144034416213","2.2827983082442107","3.6673947077643074","1.3180451782234914","25.95619618175207","23.400717638186784","50.64308618006116","0","100","0","0","100","0","0","0","100","0","0","41","28","10","34","0","48.38709677419355","46","47.05882352941176","45.94594594594595","0","0","0","0"
"3","10","1","100","100","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","183141144","-908877152","15.712","100","4.5","-7.5","5","0","10","-45","200","200","10","90","100","0","0","0","4.4012637728075665","-7.5","-7.5","-7.5","81.22744776160869","1.1974724543848654","17.575079784006462","0","100","0","0","100","0","100","0","0","0","0","1","1","1","200","0","10","10","10","10","0","0","0","0"
"1","0","1","100","100","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","1852626289","-1514685976","916.911","2147483648","5","-5.3687090825E8","5","0","10","-2147483648","200","200","0","100","100","0","0","0","4.999999999999999","-5.3687090825E8","-5.3687090825E8","-5.3687090825E8","99.99999999999989","0","0","0","100","0","0","100","0","100","0","0","0","0","1","1","1","200","0","0","0","0","0","0","0","0","0"
"13","60","1","100","100","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","253921233","-1489195739","22.039","16.666666666666668","2","2.9166666666666665","5","0","10","-3.333333333333334","200","200","57.5","42.5","2.5","20","20","57.5","2.9136401830686545","1.7817271310583744","3.617050799236748","1.4488430267525183","14.73699270756469","36.17182402777875","49.09118326465657","0","100","0","0","100","0","0","0","0","100","0","39","17","6","108","3","40","72.5","72.5","63.47826086956522","0","0","0","0"
"14","65","1","100","100","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-1286746546","-538445933","22.682","15.384615384615385","1.75","3.0769230769230766","5","0","10","-2.6923076923076925","200","200","65.5","34.5","1.5","11","8","79.5","3.1773515082215043","1.8318644803681876","3.7794365948066546","1.5070721488651297","12.453658819493135","42.25464553185027","45.291695648656614","0","100","0","0","100","0","0","0","0","100","0","29","9","1","159","3","33.33333333333333","72.72727272727273","75","64.15094339622641","0","0","0","0"
"15","70","1","100","100","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-1049998192","-187233546","24.122","14.285714285714286","1.5","3.2142857142857144","5","0","10","-2.1428571428571432","200","200","70","30","1","5","5.5","88.5","3.773271994665432","1.4340625398103128","3.88457702611167","1.354742284680774","9.672346445854876","48.691516925578874","41.63613662856628","0","100","0","0","100","0","0","0","0","100","0","19","5","1","177","3","50","70","72.72727272727273","68.36158192090396","0","0","0","0"
"18","85","1","100","100","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","1779865034","1072836322","23.328","11.764705882352942","0.75","3.5294117647058822","5","0","10","-0.882352941176471","200","200","86","14","0","0","0","100","3.5294117647058822","3.5294117647058822","3.5294117647058822","0.7402107854361408","2.4660595161864176","72.41641664758563","25.117523836227996","0","100","0","0","100","0","0","0","0","0","100","1","1","1","200","3","85","85","85","85.5","0","0","0","0"
