"BehaviorSpace results (NetLogo 6.2.2)"
"BestResponseToContexts.nlogo"
"experiment_Exp3_CBeliefs"
"01/20/2025 20:19:52:437 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","Base-MSNE","Number-Of-C-Beliefs","Memory","Inertia","Epsilon","Number-Of-People","Initial-C-Belief-Positions","Initial-Person-Attributes","Perc-Right-Hand-Side","Clustering-Weight","Statistics-Retention","Run-Length","MSNE-Margin","HD-Value","MFI-Network-Radius","Ticks-Between-Network-Updates","Ticks-Between-Plot-Updates","Ticks-Until-Shock","Shock-Repeats?","Shock-Code","Seed-Setup","Seed-Go","[step]","previous-seed-setup","previous-seed-go","timer","hd-cost-of-conflict","msne-exp-payoff","noise-payoff","item 0 payoffs","item 1 payoffs","item 2 payoffs","item 3 payoffs","count people","count C-Beliefs","perc-played-hawk","perc-played-dove","perc-interaction-type 0","perc-interaction-type 1","perc-interaction-type 2","perc-interaction-type 3","mean-payoff-by-mfi 0","mean-payoff-by-mfi 1","mean-payoff-by-mfi 2","mean-payoff-by-mfi 3","perc-events-dd","perc-events-hh","perc-events-dhhd","perc-always-hawk","perc-play-mixture","perc-always-dove","perc-best-response-dove","perc-best-response-msne","perc-best-response-hawk","perc-beliefs-between 0 20","perc-beliefs-between 20 40","perc-beliefs-between 40 60","perc-beliefs-between 60 80","perc-beliefs-between 80 101","num-mfi-components-larger-than 0","num-mfi-components-larger-than 1","num-mfi-components-larger-than 5","first first mfi-component-sizes","last first mfi-component-sizes","perc-self-hawkish-mfi-type 0","perc-self-hawkish-mfi-type 1","perc-self-hawkish-mfi-type 2","perc-self-hawkish-mfi-type 3","mean-icb-distance-by-mfi 0","mean-icb-distance-by-mfi 1","mean-icb-distance-by-mfi 2","mean-icb-distance-by-mfi 3"
"2","10","1","100","100","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-1961416085","-1994626026","15.929","100","4.5","-7.5","5","0","10","-45","200","200","9.5","90.5","100","0","0","0","4.708555775152364","-7.5","-7.5","-7.5","80.73849895741316","0.582888449695267","18.67861259289159","0","100","0","0","100","0","100","0","0","0","0","1","1","1","200","0","9.5","10","10","10","0","0","0","0"
"4","50","1","100","100","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-1212213652","-1264065545","13.663","20","2.5","2.5","5","0","10","-5","200","200","52.5","47.5","21","28","25.5","25.5","2.743548932346602","1.93374429336529","3.7171363553506724","1.2882907232040466","23.461713316251657","26.060224170334806","50.478062513413555","0","100","0","0","100","0","0","0","100","0","0","61","37","11","18","2","50","50","49.01960784313725","49.01960784313725","0","0","0","0"
"3","30","1","100","100","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","1992037029","1713229703","14.725","33.333333333333336","3.5","0.833333333333333","5","0","10","-11.666666666666668","200","200","33","67","87","8","4.5","0.5","3.393400867195713","2.052610237838841","5.222527469653688","0.2544753540399293","48.01134277285479","9.883477881648048","42.105179345497184","0","100","0","0","100","0","0","100","0","0","0","20","6","1","174","0","29.310344827586203","56.25","55.55555555555556","0","0","0","0","0"
"6","90","1","100","100","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","360521813","-1361533760","15.621","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","200","200","89.5","10.5","0","0","0","100","3.611111111111111","3.611111111111111","3.611111111111111","0.4676009073394478","0.7238017434250846","81.58318366789","17.693014588684967","0","100","0","0","100","0","0","0","0","0","100","1","1","1","200","3","90","90","90","92","0","0","0","0"
"7","100","1","100","100","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","727568601","-329289374","15.282","10","0","3.75","5","0","10","0","200","200","100","0","0","0","0","100","3.75","3.75","3.75","0","0","99.99999999999989","0","0","100","0","0","100","0","0","0","0","0","100","1","1","1","200","3","100","100","100","100","0","0","0","0"
"11","50","2","100","100","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","1703005857","-2137546959","12.973","20","2.5","2.5","5","0","10","-5","200","400","54.5","45.5","21.5","31","27","20.5","2.6124769609417426","2.2223326999351753","3.8838402593472683","1.0517138104690098","23.154378408251674","24.851561152477124","51.994060439271216","0","100","0","0","100","0","0","0","100","0","0","49","31","12","22","1","58.139534883720934","53.2258064516129","53.70370370370371","58.536585365853654","25.90024197307591","29.732811370151673","25.861529694155095","27.21242557621304"
"5","70","1","100","100","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-510949247","-364861449","16.982","14.285714285714286","1.5","3.2142857142857144","5","0","10","-2.1428571428571432","200","200","70","30","0.5","7","6.5","86","2.9447340977372405","1.7387729378914218","3.512601618903657","1.306745615618904","9.277413799340268","49.16018644877088","41.562399751888876","0","100","0","0","100","0","0","0","0","100","0","23","5","1","172","3","0","78.57142857142857","84.61538461538461","69.76744186046511","0","0","0","0"
"8","0","2","100","100","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","848674572","783867978","17.885","2147483648","5","-5.3687090825E8","5","0","10","-2147483648","200","400","0","100","100","0","0","0","4.999999999999999","-5.3687090825E8","-5.3687090825E8","-5.3687090825E8","99.99999999999989","0","0","0","100","0","0","100","0","100","0","0","0","0","1","1","1","200","0","0","0","0","0","27.49887274797138","0","0","0"
"12","70","2","100","100","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","932140404","-1218848733","15.251","14.285714285714286","1.5","3.2142857142857144","5","0","10","-2.1428571428571432","200","400","69","31","0","6","5","89","3.2142857142857144","1.7841009149321136","3.7077566045247083","1.3645667475458336","9.179523315655954","48.90342393386865","41.91705275047542","0","100","0","0","100","0","0","0","0","100","0","19","4","1","178","3","70","58.333333333333336","60","69.66292134831461","0","24.717296711142065","30.876867501221025","26.79987422077764"
"9","10","2","100","100","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","1010943301","-116482950","15.675","100","4.5","-7.5","5","0","10","-45","200","400","10","90","100","0","0","0","4.722110828454536","-7.5","-7.5","-7.5","80.72457911583362","0.5557783430909246","18.719642541075494","0","100","0","0","100","0","100","0","0","0","0","1","1","1","200","0","12","10","10","10","26.843633201223906","0","0","0"
