"BehaviorSpace results (NetLogo 6.2.2)"
"BestResponseToContexts.nlogo"
"experiment_Exp4_Inertia"
"01/20/2025 21:33:13:608 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","Base-MSNE","Number-Of-C-Beliefs","Memory","Inertia","Epsilon","Number-Of-People","Initial-C-Belief-Positions","Initial-Person-Attributes","Perc-Right-Hand-Side","Clustering-Weight","Statistics-Retention","Run-Length","MSNE-Margin","HD-Value","MFI-Network-Radius","Ticks-Between-Network-Updates","Ticks-Between-Plot-Updates","Ticks-Until-Shock","Shock-Repeats?","Shock-Code","Seed-Setup","Seed-Go","[step]","previous-seed-setup","previous-seed-go","timer","hd-cost-of-conflict","msne-exp-payoff","noise-payoff","item 0 payoffs","item 1 payoffs","item 2 payoffs","item 3 payoffs","count people","count C-Beliefs","perc-played-hawk","perc-played-dove","perc-interaction-type 0","perc-interaction-type 1","perc-interaction-type 2","perc-interaction-type 3","mean-payoff-by-mfi 0","mean-payoff-by-mfi 1","mean-payoff-by-mfi 2","mean-payoff-by-mfi 3","perc-events-dd","perc-events-hh","perc-events-dhhd","perc-always-hawk","perc-play-mixture","perc-always-dove","perc-best-response-dove","perc-best-response-msne","perc-best-response-hawk","perc-beliefs-between 0 20","perc-beliefs-between 20 40","perc-beliefs-between 40 60","perc-beliefs-between 60 80","perc-beliefs-between 80 101","num-mfi-components-larger-than 0","num-mfi-components-larger-than 1","num-mfi-components-larger-than 5","first first mfi-component-sizes","last first mfi-component-sizes","perc-self-hawkish-mfi-type 0","perc-self-hawkish-mfi-type 1","perc-self-hawkish-mfi-type 2","perc-self-hawkish-mfi-type 3","mean-icb-distance-by-mfi 0","mean-icb-distance-by-mfi 1","mean-icb-distance-by-mfi 2","mean-icb-distance-by-mfi 3"
"6","70","2","100","0","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","1565911255","-905194894","13.608","14.285714285714286","1.5","3.2142857142857144","5","0","10","-2.1428571428571432","200","400","71","29","0.5","4","4.5","91","3.2957187844095266","1.7635986144740035","3.784812834846415","1.351442139001917","9.479976883311481","49.17987952414822","41.34014359254031","0","100","0","0","100","0","0","0","0","100","0","18","2","1","182","3","100","62.5","55.55555555555556","69.78021978021978","24.727353262477155","37.07740624878051","29.932696625682055","28.929333686106222"
"7","90","2","100","0","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","1061975903","1798755393","14.176","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","200","400","91","9","0","0","0","100","3.611111111111111","3.611111111111111","3.611111111111111","0.48692253662767343","1.4123226747779885","81.2353943407019","17.352282984520134","0","100","0","0","100","0","0","0","0","0","100","1","1","1","200","3","90","90","90","91","0","0","0","28.30518235439668"
"12","100","3","100","0","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","792874190","1163072146","12.166","10","0","3.75","5","0","10","0","200","600","100","0","0","0","0","100","3.75","3.75","3.75","0","0","99.99999999999989","0","0","100","0","0","100","0","0","0","0","0","100","1","1","1","200","3","100","100","100","100","0","0","0","32.19677904523739"
"4","100","1","100","0","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-389419300","1224549684","13.249","10","0","3.75","5","0","10","0","200","200","100","0","0","0","0","100","3.75","3.75","3.75","0","0","99.99999999999989","0","0","100","0","0","100","0","0","0","0","0","100","1","1","1","200","3","100","100","100","100","0","0","0","0"
"9","50","3","100","0","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-1384217823","-724318712","15.102","20","2.5","2.5","5","0","10","-5","200","600","51.5","48.5","19.5","30","27","23.5","2.891585509725375","2.0660397777194452","3.685385866844042","1.3034844283922589","23.526704266175962","25.149558675676467","51.32373705814759","0","100","0","0","100","0","0","0","100","0","0","46","24","12","38","1","38.46153846153847","38.333333333333336","38.88888888888889","36.17021276595745","36.399556101157074","40.713713829171574","38.26427543340852","37.128501111766816"
"5","50","2","100","0","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-1628625064","-597357628","13.764","20","2.5","2.5","5","0","10","-5","200","400","49","51","27.5","24","23","25.5","3.0148129173252185","2.014154317384763","3.976050282613648","1.2467694043070459","26.006769467632395","24.55111648463787","49.442114047729746","0","100","0","0","100","0","0","0","100","0","0","53","30","9","28","0","45.45454545454545","47.91666666666667","45.65217391304348","45.09803921568628","31.294661210371885","31.00993147069875","30.717136616495562","29.16913328779426"
"2","70","1","100","0","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","1177244917","55195535","16.253","14.285714285714286","1.5","3.2142857142857144","5","0","10","-2.1428571428571432","200","200","73.5","26.5","0","4.5","7","88.5","3.2142857142857144","1.7850979162158727","3.462321123102748","1.3954968738750904","8.494426890365213","48.192107344830944","43.313465764803865","0","100","0","0","100","0","0","0","0","100","0","19","4","1","177","3","70","77.77777777777779","71.42857142857143","72.88135593220339","0","0","0","0"
"3","90","1","100","0","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-1006699798","-946690840","13.154","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","200","200","90","10","0","0","0","100","3.611111111111111","3.611111111111111","3.611111111111111","0.4914323200822453","1.030285902143013","81.15421823851959","17.815495859337396","0","100","0","0","100","0","0","0","0","0","100","1","1","1","200","3","90","90","90","86.5","0","0","0","0"
"10","70","3","100","0","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-1614949239","-325519243","15.601","14.285714285714286","1.5","3.2142857142857144","5","0","10","-2.1428571428571432","200","600","76.5","23.5","0","5","6.5","88.5","3.2142857142857144","1.7187210391036989","3.569427914107687","1.3357701923816199","8.372867455545173","48.99852318718116","42.62860935727369","0","100","0","0","100","0","0","0","0","100","0","17","8","1","177","3","70","90","92.3076923076923","69.49152542372882","0","40.005090413069674","41.26662115345652","37.658611876105226"
"8","100","2","100","0","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","772384510","-1679762643","14.238","10","0","3.75","5","0","10","0","200","400","100","0","0","0","0","100","3.75","3.75","3.75","0","0","99.99999999999989","0","0","100","0","0","100","0","0","0","0","0","100","1","1","1","200","3","100","100","100","100","0","0","0","27.44040243533162"
