"BehaviorSpace results (NetLogo 6.2.2)"
"BestResponseToContexts.nlogo"
"experiment_MSNE"
"01/16/2025 17:17:47:662 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","Base-MSNE","Number-Of-C-Beliefs","Memory","Inertia","Epsilon","Number-Of-People","Initial-C-Belief-Positions","Initial-Person-Attributes","Perc-Right-Hand-Side","Clustering-Weight","Statistics-Retention","Run-Length","MSNE-Margin","HD-Value","MFI-Network-Radius","Ticks-Between-Network-Updates","Ticks-Between-Plot-Updates","Ticks-Until-Shock","Shock-Repeats?","Shock-Code","Seed-Setup","Seed-Go","[step]","previous-seed-setup","previous-seed-go","timer","hd-cost-of-conflict","msne-exp-payoff","noise-payoff","item 0 payoffs","item 1 payoffs","item 2 payoffs","item 3 payoffs","count people","count C-Beliefs","perc-played-hawk","perc-played-dove","perc-interaction-type 0","perc-interaction-type 1","perc-interaction-type 2","perc-interaction-type 3","mean-payoff-by-mfi 0","mean-payoff-by-mfi 1","mean-payoff-by-mfi 2","mean-payoff-by-mfi 3","perc-events-dd","perc-events-hh","perc-events-dhhd","perc-always-hawk","perc-play-mixture","perc-always-dove","perc-best-response-dove","perc-best-response-msne","perc-best-response-hawk","perc-beliefs-between 0 20","perc-beliefs-between 20 40","perc-beliefs-between 40 60","perc-beliefs-between 60 80","perc-beliefs-between 80 101","num-mfi-components-larger-than 0","num-mfi-components-larger-than 1","num-mfi-components-larger-than 5","first first mfi-component-sizes","last first mfi-component-sizes","perc-self-hawkish-mfi-type 0","perc-self-hawkish-mfi-type 1","perc-self-hawkish-mfi-type 2","perc-self-hawkish-mfi-type 3","mean-icb-distance-by-mfi 0","mean-icb-distance-by-mfi 1","mean-icb-distance-by-mfi 2","mean-icb-distance-by-mfi 3"
"6","25","4","90","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","213704443","-607191816","14.721","40","3.75","0","5","0","10","-15","200","800","38.5","61.5","3.5","47.5","49","0","2.8116308713118525","2.276520721383764","7.074114478004228","0","19.28695582413236","1.7696474131236364","78.94339676274402","8","60","32","62.5","1.875","35.625","35.625","3","16.625","27.875","16.875","9","4","2","97","2","0","15.789473684210526","38.775510204081634","25","24.0435990456941","38.049326369442056","49.19697005232355","0"
"9","40","4","90","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-1852392796","60869992","12.727","25","3","1.875","5","0","10","-7.5","200","800","47","53","0.5","52.5","47","0","4.5398044907618695","2.342306731181534","6.8913297765115145","1.875","10.233004823487551","4.069319589723785","85.69767558678868","13.5","66.5","20","54.875","1.125","44","38.875","5.625","3.5","21.375","30.625","8","3","2","102","1","100","26.666666666666668","57.446808510638306","40","45.46308658546722","46.446106267701865","48.379019235514996","0"
"7","30","4","90","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","1663505038","1302999850","14.447","33.333333333333336","3.5","0.833333333333333","5","0","10","-11.666666666666668","200","800","42","58","2.5","47","50.5","0","2.9743538807688257","2.2789423445832475","6.891622344413356","0.833333333333333","14.971573775326238","2.2456138025874557","82.78281242208632","10.5","64","25.5","58.25","1.25","40.5","39.5","2.5","8.5","28","21.5","10","5","3","94","1","0","19.148936170212767","49.504950495049506","30","24.048078905613565","42.55179351982583","48.82881458503062","0"
"10","45","4","90","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-79295872","849127505","14.548","22.22222222222222","2.75","2.2222222222222223","5","0","10","-6.111111111111111","200","800","50.5","49.5","1","51.5","47.5","0","3.6243413234886965","2.176359263275324","6.7784025909927745","2.2222222222222223","8.686666823091597","5.6087130191107875","85.70462015779765","16.5","66","17.5","50.5","1.125","48.375","39.75","8.625","2.125","17","32.5","7","3","2","98","1","0","31.06796116504854","67.36842105263158","45","39.038359562869","46.982066184340475","47.84387201043727","0"
"11","50","4","90","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","179181891","-1323486892","14.28","20","2.5","2.5","5","0","10","-5","200","800","46","54","0","50.5","49.5","0","2.5","2.0987301608382083","6.6903223842188275","2.5","6.909469009309654","6.284316885883863","86.8062141048065","19","63","18","49","1","50","38.125","11.25","2.5","10.625","37.5","3","2","2","101","1","50","28.71287128712871","71.71717171717171","50","0","46.94705836954964","47.52256152019271","0"
"2","5","4","90","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","1131484600","1604858939","16.843","200","4.75","-20","5","0","10","-95","200","800","28","72","61","6","33","0","3.473255284199962","2.938076620917668","7.204346754419623","-20","51.32669406681453","0.3275952504244887","48.345710682760995","1.5","38","60.5","78.625","21.375","0","32.125","47.125","19.625","1.125","0","12","5","2","121","0","3.278688524590164","8.333333333333332","22.727272727272727","5","7.917150620127327","14.774681702703164","43.15547440747942","0"
"5","20","4","90","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","202867051","263700020","16.746","50","4","-1.25","5","0","10","-20","200","800","42","58","7","46","47","0","3.3015481090437317","2.4270108239984016","6.824459151954576","-1.25","22.001256136268484","1.7798834076360917","76.21886045609543","8","59","33","61.75","2.625","35.625","37.125","6","18.125","26.75","12","9","6","3","91","1","14.285714285714285","15.217391304347828","42.5531914893617","20","24.016986509976835","36.09695390467645","49.23389003084874","0"
"3","10","4","90","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","260755444","930912529","16.626","100","4.5","-7.5","5","0","10","-45","200","800","34.5","65.5","34","23","43","0","3.0469811559017055","2.5766892388113325","7.104468491469689","-7.5","36.31505944036001","0.6329328614696956","63.05200769817033","3","49","48","73.625","4.375","22","28.125","25.75","33.375","11.75","1","12","7","4","86","2","2.941176470588235","2.1739130434782608","22.093023255813954","10","11.21573720031554","21.273638257894195","44.96054694870675","0"
"12","55","4","90","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","843344439","1892378169","14.97","18.181818181818183","2.25","2.727272727272727","5","0","10","-4.090909090909092","200","800","51.5","48.5","0","51.5","48.5","0","2.727272727272727","2.030367874443184","6.505506233437077","2.727272727272727","5.71461992691962","8.791090235892575","85.49428983718785","19","65.5","15.5","48.875","0.875","50.25","32","16.375","2.75","10","38.875","5","2","2","101","1","55","40.77669902912621","78.35051546391753","55","0","48.499151460035904","47.73824427877548","0"
"4","15","4","90","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-702622656","-1795949288","17.23","66.66666666666667","4.25","-3.333333333333334","5","0","10","-28.333333333333336","200","800","38","62","15","36","49","0","3.2824129489649896","2.209326902685395","7.131339970327311","-3.333333333333334","26.767979120819195","0.6537713616843827","72.57824951749645","3.5","57","39.5","66.375","3.125","30.5","33.625","8.75","27","25.25","5.375","13","8","4","98","2","0","11.11111111111111","31.63265306122449","15","18.214468489904817","25.61621031011435","48.08529074141957","0"
