"BehaviorSpace results (NetLogo 6.2.2)"
"BestResponseToContexts.nlogo"
"experiment_Memory"
"01/16/2025 20:20:58:160 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","Base-MSNE","Number-Of-C-Beliefs","Memory","Inertia","Epsilon","Number-Of-People","Initial-C-Belief-Positions","Initial-Person-Attributes","Perc-Right-Hand-Side","Clustering-Weight","Statistics-Retention","Run-Length","MSNE-Margin","HD-Value","MFI-Network-Radius","Ticks-Between-Network-Updates","Ticks-Between-Plot-Updates","Ticks-Until-Shock","Shock-Repeats?","Shock-Code","Seed-Setup","Seed-Go","[step]","previous-seed-setup","previous-seed-go","timer","hd-cost-of-conflict","msne-exp-payoff","noise-payoff","item 0 payoffs","item 1 payoffs","item 2 payoffs","item 3 payoffs","count people","count C-Beliefs","perc-played-hawk","perc-played-dove","perc-interaction-type 0","perc-interaction-type 1","perc-interaction-type 2","perc-interaction-type 3","mean-payoff-by-mfi 0","mean-payoff-by-mfi 1","mean-payoff-by-mfi 2","mean-payoff-by-mfi 3","perc-events-dd","perc-events-hh","perc-events-dhhd","perc-always-hawk","perc-play-mixture","perc-always-dove","perc-best-response-dove","perc-best-response-msne","perc-best-response-hawk","perc-beliefs-between 0 20","perc-beliefs-between 20 40","perc-beliefs-between 40 60","perc-beliefs-between 60 80","perc-beliefs-between 80 101","num-mfi-components-larger-than 0","num-mfi-components-larger-than 1","num-mfi-components-larger-than 5","first first mfi-component-sizes","last first mfi-component-sizes","perc-self-hawkish-mfi-type 0","perc-self-hawkish-mfi-type 1","perc-self-hawkish-mfi-type 2","perc-self-hawkish-mfi-type 3","mean-icb-distance-by-mfi 0","mean-icb-distance-by-mfi 1","mean-icb-distance-by-mfi 2","mean-icb-distance-by-mfi 3"
"9","90","4","40","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-2007345397","368334097","16.427","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","200","800","64","36","0","29","16","55","3.611111111111111","1.5921321224530216","4.9673868355022535","2.7600091851731916","9.675482456070855","40.05890530133417","50.265612242595004","22.5","76.5","1","26.875","13.5","59.625","11.625","22.375","0","23.75","42.25","20","10","5","97","3","90","55.172413793103445","84.375","70.9090909090909","0","42.483491332711004","36.308353465090796","36.32707820206831"
"5","90","4","20","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","242156409","608044551","15.084","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","200","800","62.5","37.5","0","19.5","18.5","62","3.611111111111111","1.7302085669683867","4.569964150231173","2.7456492612709615","14.344972013586371","38.067541553887274","47.58748643252639","16","81","3","37.125","0","62.875","37.75","0","0","0","62.25","28","17","4","124","3","90","46.15384615384615","81.08108108108108","55.64516129032258","0","40.0167011450828","39.943631048317535","38.801081839842574"
"2","90","4","5","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-687009594","-1501039037","16.857","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","200","800","49","51","23.5","29.5","32","15","3.3460051107749114","2.739133842762987","4.918670661630075","3.0620613743871514","25.376232340848638","24.702488954516134","49.92127870463525","6","87.5","6.5","49.875","0","50.125","50.125","0","0","0","49.875","53","29","7","25","1","65.95744680851064","28.8135593220339","46.875","16.666666666666664","41.59192964025141","44.385868762108416","44.079588925297934","42.56957948897148"
"10","90","4","45","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","140576738","391880580","14.86","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","200","800","66","34","0","12","8","80","3.611111111111111","1.6189922487629194","4.749423675975541","2.338842083711918","10.95316628533623","45.984480643815715","43.062353070848076","26","72","2","20","21.875","58.125","9","13.125","14.625","18.25","45","27","11","1","160","3","90","41.66666666666667","93.75","64.375","0","34.027060959273925","30.566523946884555","28.659624768369195"
"7","90","4","30","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-358966910","-1189206804","14.593","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","200","800","60","40","0","22","23.5","54.5","3.611111111111111","2.073250240537713","4.585153979978115","2.6340491169695235","13.838235895306678","36.55470587469222","49.607058230001115","12.5","84.5","3","26.25","13.5","60.25","16.625","20.625","0","23","39.75","31","21","9","86","3","90","40.909090909090914","78.72340425531915","58.71559633027523","0","38.397655284864896","41.49921704529803","37.1265187126851"
"11","90","4","50","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","2069551365","351453886","14.406","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","200","800","70.5","29.5","0","19","8","73","3.611111111111111","1.6114079308687312","4.839371925760945","2.4191105485478968","8.926063740486537","45.73317669541384","45.34075956409964","21.5","78.5","0","21.125","20.125","58.75","5.125","12","16.875","19.875","46.125","26","14","3","146","3","90","44.73684210526316","75","71.91780821917808","0","33.12671140046266","31.786913074373768","28.246790856528666"
"8","90","4","35","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","1298977841","1093869446","16.677","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","200","800","61.5","38.5","0","20","13.5","66.5","3.611111111111111","1.935053354999102","4.826545171430422","2.5238146022052814","12.946437982475583","41.095242367030124","45.95831965049431","15","84.5","0.5","27.5","14","58.5","11","24.25","0","23.25","41.5","26","14","4","133","3","90","45","88.88888888888889","57.89473684210527","0","39.09065288732923","39.599965675950095","36.22501936622677"
"3","90","4","10","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","59491894","788289551","18.666","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","200","800","51.5","48.5","19.5","29.5","32.5","18.5","3.65824901835401","2.6218435828898317","4.837871531187904","3.0009925323295037","24.758717153157995","24.942702930325957","50.29857991651606","6","84","10","26","24.375","49.625","49.625","0","0","0","50.375","47","26","10","31","2","76.92307692307693","35.59322033898305","58.46153846153847","29.72972972972973","42.408863616967096","44.28521280086509","42.42880719835428","42.33218496099258"
"6","90","4","25","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-815205262","-1432783744","17.327","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","200","800","61","39","0.5","24.5","13.5","61.5","3.8505514399514693","2.215367182382102","4.861138454823776","2.799362922644959","14.288430381540541","37.082167097197875","48.62940252126161","11.5","87","1.5","30.625","6.5","62.875","20.375","19","0","11.5","49.125","33","10","4","123","3","100","53.06122448979592","85.18518518518519","55.28455284552846","32.41185733112474","40.493137461794554","39.520245513000695","39.07146767319734"
"4","90","4","15","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","651264895","-302538494","17.155","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","200","800","62","38","0","20","14.5","65.5","3.611111111111111","1.8824336019643866","5.014858763326244","2.7329064730710138","14.387438395095575","37.91349034313948","47.699071261764956","13.5","83.5","3","38.5","23.25","38.25","38.25","0","0","0","61.75","30","13","4","131","3","90","55.00000000000001","89.65517241379311","47.32824427480916","0","42.170479659015356","39.06775867615078","39.25627762573081"
"12","90","4","55","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-889155052","2136153856","15.447","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","200","800","69","31","0","15.5","7.5","77","3.611111111111111","1.3842222705649385","4.741295365951706","2.320887801631686","8.609553197265697","47.56976619047387","43.82068061226043","28","72","0","18.375","18.25","63.375","4.375","8.875","21.5","21.25","44","18","8","3","154","3","90","64.51612903225806","80","72.07792207792207","0","38.75745812610895","27.433021974271398","25.91333689511293"
"1","90","4","0","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","1848525618","166304360","11060.41","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","200","800","53.5","46.5","16","30.5","33","20.5","3.394925217615226","2.771908955320191","4.765344411578465","3.1113021336700633","24.58331507112611","25.217984530541717","50.1987003983322","5","91.5","3.5","51.75","0","48.25","48.25","0","0","0","51.75","57","38","9","26","2","75","36.0655737704918","65.15151515151516","36.58536585365854","41.01052961959804","43.87075375956626","43.333800431216766","43.47065452886089"
"15","90","4","70","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","461278905","-412222090","28.239","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","200","800","67","33","0","41.5","26","32.5","3.611111111111111","1.3566555378645615","5.5330018002212285","2.9192413004658877","2.0319468185287533","36.89377309939096","61.07428008208031","39","57","4","27.25","7.875","64.875","6.25","12.125","21.75","19.875","40","14","6","4","82","1","90","59.036144578313255","94.23076923076923","93.84615384615384","0","47.001876506938714","19.200427636746937","22.09170327347702"
"14","90","4","65","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-259342149","2098588184","26.571","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","200","800","63","37","0","42","27","31","3.611111111111111","1.4735445423274431","5.561358439949422","2.8106723987251625","3.6749094134079923","36.14824925696395","60.176841329628076","32","65","3","25.875","10.75","63.375","8.625","11.625","18","20.75","41","22","16","8","76","1","90","73.80952380952381","94.44444444444444","80.64516129032258","0","45.166548448072554","23.797300434701814","28.343275137348932"
