"BehaviorSpace results (NetLogo 6.2.2)"
"BestResponseToContexts.nlogo"
"experiment_Pop"
"01/16/2025 21:07:33:171 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","Base-MSNE","Number-Of-C-Beliefs","Memory","Inertia","Epsilon","Number-Of-People","Initial-C-Belief-Positions","Initial-Person-Attributes","Perc-Right-Hand-Side","Clustering-Weight","Statistics-Retention","Run-Length","MSNE-Margin","HD-Value","MFI-Network-Radius","Ticks-Between-Network-Updates","Ticks-Between-Plot-Updates","Ticks-Until-Shock","Shock-Repeats?","Shock-Code","Seed-Setup","Seed-Go","[step]","previous-seed-setup","previous-seed-go","timer","hd-cost-of-conflict","msne-exp-payoff","noise-payoff","item 0 payoffs","item 1 payoffs","item 2 payoffs","item 3 payoffs","count people","count C-Beliefs","perc-played-hawk","perc-played-dove","perc-interaction-type 0","perc-interaction-type 1","perc-interaction-type 2","perc-interaction-type 3","mean-payoff-by-mfi 0","mean-payoff-by-mfi 1","mean-payoff-by-mfi 2","mean-payoff-by-mfi 3","perc-events-dd","perc-events-hh","perc-events-dhhd","perc-always-hawk","perc-play-mixture","perc-always-dove","perc-best-response-dove","perc-best-response-msne","perc-best-response-hawk","perc-beliefs-between 0 20","perc-beliefs-between 20 40","perc-beliefs-between 40 60","perc-beliefs-between 60 80","perc-beliefs-between 80 101","num-mfi-components-larger-than 0","num-mfi-components-larger-than 1","num-mfi-components-larger-than 5","first first mfi-component-sizes","last first mfi-component-sizes","perc-self-hawkish-mfi-type 0","perc-self-hawkish-mfi-type 1","perc-self-hawkish-mfi-type 2","perc-self-hawkish-mfi-type 3","mean-icb-distance-by-mfi 0","mean-icb-distance-by-mfi 1","mean-icb-distance-by-mfi 2","mean-icb-distance-by-mfi 3"
"10","90","4","90","90","0","16","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","263398131","1747489209","4.077","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","16","64","56.25","43.75","0","43.75","56.25","0","3.611111111111111","1.3463787276933397","6.707671524393544","3.611111111111111","0.31773322854112523","11.482093334930342","88.20017343652854","31.25","62.5","6.25","32.8125","1.5625","65.625","31.25","23.4375","9.375","1.5625","34.375","2","2","2","9","2","90","71.42857142857143","77.77777777777779","90","0","45.68493059848505","36.333553282698716","0"
"1","90","4","90","90","0","16","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","1142380381","-2074926720","13838.864","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","16","64","56.25","43.75","0","43.75","56.25","0","3.611111111111111","1.8082134415739828","6.313685348944352","3.611111111111111","5.993298337470428E-32","11.834254989543341","88.16574501045666","31.25","62.5","6.25","35.9375","0","64.0625","28.125","26.5625","7.8125","1.5625","35.9375","2","2","2","9","2","90","57.14285714285714","77.77777777777779","90","0","46.797892081339306","33.936737205742254","0"
"2","90","4","90","90","0","36","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-1457152571","-333731739","6.66","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","36","144","63.888888888888886","36.111111111111114","0","41.666666666666664","27.77777777777778","30.555555555555557","3.611111111111111","1.5012675980828205","5.186389014617001","3.436944670212051","0.007989560142930893","33.905352255127575","66.08665818472952","47.22222222222222","50","2.7777777777777777","22.22222222222222","2.0833333333333335","75.69444444444444","6.944444444444445","11.805555555555555","27.77777777777778","29.166666666666668","24.305555555555557","3","3","3","15","1","90","66.66666666666666","90","100","0","46.383489581104826","28.626720484573585","16.47292659593492"
"11","90","4","90","90","0","36","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-1938954176","896071514","4.198","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","36","144","61.111111111111114","38.888888888888886","0","44.44444444444444","38.888888888888886","16.666666666666668","3.611111111111111","1.7578252109347743","5.661173163423881","3.779535467269922","0.3628097763507722","24.970579766744894","74.66661045690437","38.888888888888886","58.333333333333336","2.7777777777777777","27.083333333333332","1.3888888888888888","71.52777777777777","17.36111111111111","17.36111111111111","28.47222222222222","7.638888888888889","29.166666666666668","4","3","2","16","1","90","81.25","85.71428571428571","100","0","45.23705504530833","31.29525442479694","12.028434815807817"
"12","90","4","90","90","0","64","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-1980679859","930288623","5.903","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","64","256","65.625","34.375","0","45.3125","29.6875","25","3.611111111111111","1.3666790152549506","5.986438712178306","4.019476882654608","0.07149724914894154","28.77534644167828","71.15315630917281","42.1875","54.6875","3.125","26.171875","3.125","70.703125","3.90625","20.703125","31.25","14.0625","30.078125","5","5","3","29","1","90","68.96551724137932","89.47368421052632","100","0","47.446371025604584","27.344957225761366","15.378088010298667"
"3","90","4","90","90","0","64","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-1839202877","-375160346","8.801","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","64","256","67.1875","32.8125","0","40.625","25","34.375","3.611111111111111","1.2696569736708982","5.342199026414518","3.2639390953124776","0.029787213837715626","36.48011460892028","63.490098177242025","51.5625","42.1875","6.25","24.21875","1.5625","74.21875","2.734375","13.28125","28.90625","28.515625","26.5625","6","4","3","26","1","90","42.30769230769231","87.5","100","0","45.26394470243231","20.409375990723188","6.357570282314202"
"4","90","4","90","90","0","100","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-34709528","-2052520768","9.333","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","100","400","69","31","0","41","25","34","3.611111111111111","1.361383439501167","5.25572727687821","3.2406517555559424","0.8126374955431278","36.469428726527106","62.71793377792979","46","51","3","23.5","6","70.5","4","11.75","34.5","18.5","31.25","8","6","3","36","1","90","75.60975609756098","100","97.05882352941177","0","46.85644034840916","20.3470538949539","17.15192012434294"
"19","90","4","90","90","0","16","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","1905566568","-1365762267","10.363","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","16","64","50","50","0","43.75","50","6.25","3.611111111111111","2.129385468274731","6.714962795053017","3.178823165112109","0.0030812933990791947","9.220248221108237","90.7766704854927","18.75","75","6.25","43.75","3.125","53.125","34.375","12.5","6.25","0","46.875","3","2","2","8","2","90","42.857142857142854","75","0","0","45.24481265557536","39.181234417203065","36.573171596590925"
"13","90","4","90","90","0","100","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-1536781335","-1320205263","9.749","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","100","400","67","33","0","44","28","28","3.611111111111111","1.3847968562816377","5.42520326023808","3.487907045110225","0.4937457094763991","34.110332959294","65.39592133122962","49","47","4","25.5","5","69.5","2.25","13","36.25","16.25","32.25","7","4","3","44","1","90","68.18181818181817","92.85714285714286","96.42857142857143","0","46.51864338234984","21.117347984867596","11.633711543950097"
"5","90","4","90","90","0","144","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","1384724816","-324741359","13.866","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","144","576","65.97222222222223","34.02777777777778","0","45.138888888888886","31.944444444444443","22.916666666666668","3.611111111111111","1.3827095120115451","5.546511199793522","3.134836670791278","0.5246694836311904","33.94184454907944","65.5334859672894","42.361111111111114","53.47222222222222","4.166666666666667","23.78472222222222","5.208333333333333","71.00694444444444","2.2569444444444446","14.0625","34.375","18.92361111111111","30.381944444444443","14","8","4","65","1","90","81.53846153846153","93.47826086956522","93.93939393939394","0","43.9792874665837","21.583198584846308","11.6669280383294"
